Window_End,Hybrid SPY (70/15/15) CAGR,Hybrid SPY (70/15/15) MDD,Dull S&P 500 CAGR,Dull S&P 500 MDD,Hybrid MSCI (40/35/25) CAGR,Hybrid MSCI (40/35/25) MDD,Dull MSCI World CAGR,Dull MSCI World MDD
1999-12-31,0.1695384621420155,-0.3622873644474829,0.17805821304151004,-0.3288909479761378,0.17326202657392442,-0.43551346469866203,0.16936171374820974,-0.32948588878557905
2000-01-07,0.16614444784532023,-0.36232373207748314,0.17508920771415926,-0.3288909479761378,0.16900593063131963,-0.43548731781431693,0.16644588664919535,-0.32948588878557905
2000-01-14,0.16604299711797155,-0.36412408006394814,0.17493571428102217,-0.3288909479761378,0.1687068210150393,-0.4390687315169344,0.16632475165254923,-0.32948588878557916
2000-01-21,0.16583876253372454,-0.3705889633381849,0.17267906569871383,-0.3288909479761378,0.17024111249520502,-0.4517487327279285,0.16411377125371418,-0.32948588878557905
2000-01-28,0.16103734823607918,-0.385304088841654,0.1683404146600711,-0.3288909479761378,0.1640692108206443,-0.4799366605678175,0.15983785909658588,-0.32948588878557905
2000-02-04,0.1646623260638993,-0.37027539509466156,0.17073226656152074,-0.3288909479761378,0.1696393686050719,-0.45131604068983244,0.16224339296011459,-0.32948588878557905
2000-02-11,0.15986225857556202,-0.3748801723017674,0.16778112852353977,-0.3288909479761378,0.16239359519524976,-0.46048488290098766,0.15934470721532557,-0.32948588878557905
2000-02-18,0.15902724919964828,-0.36552233077416263,0.1675889399517605,-0.32889094797613794,0.16123027242852195,-0.4424176559033597,0.1591836943094913,-0.32948588878557916
2000-02-28,0.15967312619070118,-0.367138424945713,0.16906075576693858,-0.32889094797613794,0.16132210988428786,-0.4456230120218747,0.16067932726857026,-0.32948588878557905
2000-03-06,0.16392563096186308,-0.3690882617555947,0.17282652137320875,-0.32889094797613794,0.16678892378717425,-0.4490672705873908,0.16444914563277213,-0.32948588878557905
2000-03-13,0.1659928438563012,-0.3644415951091342,0.17411915426941982,-0.3288909479761378,0.17000746464806027,-0.4394081722273637,0.16576364373909147,-0.32948588878557905
2000-03-20,0.17094866608029746,-0.36184184457232815,0.17850942461347863,-0.32889094797613794,0.17611799354831592,-0.4345555227558562,0.17015389571084905,-0.32948588878557905
2000-03-27,0.17781751304626758,-0.36563815738699357,0.1840065433802136,-0.3288909479761378,0.18509325999711912,-0.4420184672478049,0.1756433544860938,-0.32948588878557905
2000-04-03,0.17282836822370617,-0.36289163817767145,0.18094547271544403,-0.3288909479761378,0.17759905371904083,-0.4366879591775161,0.17263534329312513,-0.32948588878557905
2000-04-11,0.1715180218344281,-0.3583970362626542,0.17975362511259374,-0.32889094797613794,0.17604680793721061,-0.42792116307461026,0.17148529539543378,-0.32948588878557916
2000-04-18,0.17169452581793876,-0.3682387463148191,0.17921605080214897,-0.32889094797613794,0.1766763536078939,-0.4470310405577945,0.17098271876911175,-0.32948588878557905
2000-04-25,0.17088364653096555,-0.379859457941915,0.1779753959183652,-0.3288909479761378,0.17586615006164097,-0.46963492671148177,0.16978004263817126,-0.32948588878557905
2000-05-02,0.16912700643586365,-0.3815376079588674,0.17644342466800556,-0.32889094797613794,0.17378670675953556,-0.47282550184972305,0.16828997032054427,-0.32948588878557905
2000-05-09,0.16873447736622338,-0.37807938174522915,0.17547627789850218,-0.3288909479761378,0.17377144276294532,-0.46654357109681155,0.16736071399453656,-0.32948588878557905
2000-05-16,0.16848851716245417,-0.3725262058004002,0.17617719714899782,-0.3288909479761378,0.17285727862286104,-0.4560897100787912,0.1680880772752753,-0.32948588878557916
2000-05-23,0.16112126164212248,-0.3674842171960111,0.17056385374233063,-0.32889094797613794,0.16313240957077846,-0.4462988088655472,0.1625444860114753,-0.32948588878557905
2000-06-02,0.16592375489063826,-0.36608565701869367,0.17470645793912998,-0.3288909479761378,0.1693445936359117,-0.44349349257655435,0.1666940043323979,-0.32948588878557905
2000-06-09,0.16381069908149937,-0.3620351335032249,0.17230889081430867,-0.3288909479761377,0.16732811313540807,-0.43499995583656237,0.16434397675037227,-0.32948588878557905
2000-06-16,0.16150723768005593,-0.3672602965404834,0.17135354953926396,-0.3288909479761378,0.16339935866978972,-0.4448769876334101,0.16342627525241826,-0.32948588878557905
2000-06-23,0.1620748684985185,-0.36419166740541653,0.17118695148602825,-0.3288909479761378,0.16453449718959123,-0.4391661918332782,0.16329187101507125,-0.32948588878557916
2000-06-30,0.16178790971351442,-0.36311013444376106,0.1718130704924623,-0.32889094797613794,0.16339808632080155,-0.43714659032491143,0.16394487887376008,-0.32948588878557905
2000-07-07,0.1611516693166306,-0.36230862110505746,0.17094612979385015,-0.32889094797613794,0.16292515633089977,-0.4354835386083761,0.16311180929485958,-0.32948588878557905
2000-07-14,0.16112470662170764,-0.36365296388150115,0.17140014470275333,-0.3288909479761378,0.162324500543654,-0.43817623258055105,0.16359392471330336,-0.32948588878557916
2000-07-21,0.16032660159613532,-0.36616662284586887,0.1687908301243899,-0.3288909479761378,0.16299106922122686,-0.4430976634495004,0.16103309513675135,-0.32948588878557905
2000-07-28,0.15891706134828487,-0.3795442882831275,0.16621961823319986,-0.32889094797613794,0.16219348776247622,-0.4688426033494031,0.15850992764551242,-0.32948588878557916
2000-08-04,0.1616919548441078,-0.3715776646833463,0.16871745065597032,-0.3288909479761378,0.16587907192657902,-0.4537700429699637,0.16102225761198952,-0.32948588878557905
2000-08-11,0.15935251608849565,-0.3772992619639677,0.16757208924155176,-0.32889094797613794,0.16187466814726137,-0.4650597808585124,0.15991550635170215,-0.32948588878557894
2000-08-18,0.16033438416075207,-0.3651264803072414,0.1688774077980142,-0.3288909479761378,0.16321751145066044,-0.441582355229753,0.161243289680979,-0.32948588878557905
2000-08-25,0.1589371779251294,-0.3683632109042957,0.16835076358606416,-0.3288909479761378,0.16082846926276373,-0.4479137419858248,0.1607511605806602,-0.32948588878557916
2000-09-01,0.15843441950932435,-0.36802938232853966,0.16828963626475457,-0.3288909479761378,0.1599953230148894,-0.44724284375919166,0.16072045407855962,-0.32948588878557916
2000-09-08,0.15815973084995605,-0.3690993859429248,0.16783634436994666,-0.32889094797613794,0.1599685344761086,-0.44860389033313364,0.1602990604707648,-0.32948588878557905
2000-09-15,0.1539263577876151,-0.3650098718599527,0.16479566790614886,-0.3288909479761378,0.15397888804394122,-0.4405938951031634,0.157309028040568,-0.32948588878557916
2000-09-22,0.1528276302029159,-0.36572908119096137,0.16339649831301273,-0.3288909479761378,0.1528553397240473,-0.4421614925767591,0.1559497879256817,-0.32948588878557916
2000-09-29,0.15386827076796883,-0.362972161512765,0.1643261222036123,-0.3288909479761378,0.15410512925250242,-0.4368863714247845,0.1569043381208084,-0.32948588878557905
2000-10-06,0.1505260083923834,-0.35881295757894194,0.16112704064188277,-0.32889094797613794,0.15031606244314188,-0.42873977587975187,0.1537565791337714,-0.32948588878557905
2000-10-13,0.14812226543179285,-0.36648899812125935,0.15873652752229317,-0.32889094797613794,0.14738623965477626,-0.4436706256199402,0.15141206385288264,-0.32948588878557905
2000-10-20,0.15079966659872102,-0.3734138916916654,0.16042404935485233,-0.32889094797613794,0.15110242522430584,-0.4573033077597878,0.15311972252117734,-0.32948588878557905
2000-10-27,0.15262799794168957,-0.38225637254463773,0.16144820082423106,-0.3288909479761378,0.1539166313180289,-0.4741320153058375,0.1541682190587752,-0.32948588878557905
2000-11-06,0.1546987226578549,-0.3751295693566664,0.16308291651413875,-0.3288909479761378,0.1568125935416569,-0.46082256069064065,0.1558276255539408,-0.32948588878557905
2000-11-13,0.14582284014727787,-0.37621795163013194,0.1563544695606749,-0.32889094797613794,0.14468400805894888,-0.4631640821537617,0.14917199963689765,-0.32948588878557905
2000-11-20,0.1424616705757089,-0.3688153158095906,0.1543100680787206,-0.3288909479761378,0.14001604020411307,-0.44893985714429674,0.14717102725664577,-0.32948588878557916
2000-11-28,0.14293604808636418,-0.36378867518258506,0.15393716996432838,-0.3288909479761378,0.14139478298464447,-0.4389924763721189,0.1468310951368763,-0.32948588878557905
2000-12-05,0.147395071740825,-0.3700739699645105,0.158352472455223,-0.32889094797613794,0.14662304998429465,-0.45068455529999996,0.1512498753646363,-0.32948588878557905
2000-12-12,0.15016733988406794,-0.365400402308808,0.1601978303207452,-0.32889094797613794,0.1507616164893244,-0.4412947190016516,0.15311465976529437,-0.32948588878557905
2000-12-19,0.1456800930324984,-0.3610618823066807,0.15534989909175922,-0.3288909479761378,0.14575174109223266,-0.4330759937895656,0.1483271005011313,-0.32948588878557916
2000-12-29,0.14329485398225472,-0.3676587690892722,0.15538672063295444,-0.32889094797613794,0.1406782418470467,-0.44601126660186574,0.14839845886463343,-0.32948588878557905
