Window_End_Date,Strat_50_50_CAGR,Strat_50_50_MDD,Strat_15_15_70_CAGR,Strat_15_15_70_MDD,UPRO_CAGR,UPRO_MDD,SPY_CAGR,SPY_MDD
2005-02-28,0.18521448597066126,-0.9171637209902244,0.15315931113669445,-0.6788474661190838,0.19622980320944294,-0.9171637209902244,0.1188308560009197,-0.47313927768210984
2005-02-28,0.18521448597066126,-0.9171637209902244,0.15315931113669445,-0.6788474661190838,0.19622980320944294,-0.9171637209902244,0.1188308560009197,-0.47313927768210984
2005-02-28,0.18521448597066126,-0.9171637209902244,0.15315931113669445,-0.6788474661190838,0.19622980320944294,-0.9171637209902244,0.1188308560009197,-0.47313927768210984
2005-02-28,0.18521448597066126,-0.9171637209902244,0.15315931113669445,-0.6788474661190838,0.19622980320944294,-0.9171637209902244,0.1188308560009197,-0.47313927768210984
2005-03-03,0.18748411810295473,-0.9171636936086918,0.15347161744749238,-0.678587522923202,0.1987637733471781,-0.9171637209902244,0.11956374186682628,-0.47313927768210984
2005-03-04,0.18848277769619703,-0.9171636685678703,0.15427284810565411,-0.6773597916542744,0.20180213489477317,-0.9171637209902244,0.12050686613645656,-0.47313927768210984
2005-03-05,0.19064442364388445,-0.9171636066888302,0.1548763534279627,-0.6811330098785359,0.20180213489477317,-0.9171637209902244,0.12050686613645656,-0.47313927768210984
2005-03-06,0.1939770739686737,-0.9171636228342274,0.1558938084004422,-0.6814626352566189,0.20180213489477317,-0.9171637209902244,0.12050686613645656,-0.47313927768210984
2005-03-07,0.19667430557342613,-0.9171637520054006,0.15658721397254505,-0.6827297881981871,0.2033243157261717,-0.9171637209902244,0.12097722842303038,-0.47313927768210984
2005-03-10,0.19527549631101326,-0.9171635840947538,0.15475639817535503,-0.6805471190107362,0.20676198895529474,-0.9171637209902244,0.12200579638172959,-0.47313927768210984
2005-03-11,0.19250033032305303,-0.9171636934227114,0.15456723339224676,-0.6792165855524246,0.20633095563720794,-0.9171637209902244,0.12187385252674132,-0.47313927768210984
2005-03-12,0.19375098475385588,-0.9171636227715761,0.15476136760510006,-0.6807221122650942,0.20633095563720794,-0.9171637209902244,0.12187385252674132,-0.47313927768210984
2005-03-13,0.19548544645201127,-0.9171636116747837,0.15523196361739067,-0.6754050476589573,0.20633095563720794,-0.9171637209902244,0.12187385252674132,-0.47313927768210984
2005-03-14,0.19650022131480638,-0.9171637338370935,0.155406529136064,-0.6740765239152666,0.20364595500571459,-0.9171637209902244,0.12101588578317046,-0.47313927768210984
2005-03-17,0.1990071281425092,-0.9171636676474014,0.15661514048434033,-0.6738852284374285,0.1988242865742098,-0.9171637209902244,0.11951312716682749,-0.47313927768210984
2005-03-18,0.19642058987933408,-0.9171636426805143,0.15529947008285183,-0.6736722469794503,0.19950502267988401,-0.9171637209902244,0.1197237965173823,-0.47313927768210984
2005-03-19,0.19615954020278226,-0.9171636250607823,0.15492383686903022,-0.6698884555970329,0.19950502267988401,-0.9171637209902244,0.1197237965173823,-0.47313927768210984
2005-03-20,0.19785432923469815,-0.9171635890760479,0.15577330634311415,-0.6727882049943836,0.19950502267988401,-0.9171637209902244,0.1197237965173823,-0.47313927768210984
2005-03-21,0.19823556957543254,-0.9171636191670441,0.15613393347309934,-0.6758920653512726,0.2016355478556402,-0.9171637209902244,0.12037010471876752,-0.47313927768210984
2005-03-24,0.20116442874057117,-0.9171636204168319,0.1578418037847804,-0.6748199990817222,0.1947101075630877,-0.9171637209902244,0.1181949249294465,-0.47313927768210984
2005-03-25,0.2013242911743387,-0.917163637488039,0.15737780891918574,-0.6745126381986157,0.1947101075630877,-0.9171637209902244,0.1181949249294465,-0.47313927768210984
2005-03-26,0.20210128848841835,-0.9171636829235709,0.15809303162119837,-0.6771178625561265,0.1947101075630877,-0.9171637209902244,0.1181949249294465,-0.47313927768210984
2005-03-27,0.20280684530850235,-0.9171636513912211,0.15790392395436137,-0.6796056565795758,0.1947101075630877,-0.9171637209902244,0.1181949249294465,-0.47313927768210984
2005-03-28,0.19960431740289852,-0.9171636634682749,0.15510210993742213,-0.6807237666814139,0.19546018362284157,-0.9171637209902244,0.11842880762446018,-0.47313927768210984
2005-03-31,0.1983564086590619,-0.9171635920757598,0.15448384133924198,-0.6816253920304893,0.1993738739827744,-0.9171637209902244,0.11964963816107921,-0.47313927768210984
2005-04-01,0.19728960639467985,-0.9171637231192585,0.15336296788873827,-0.681446360958921,0.1991291545177971,-0.9171637209902244,0.11957435992581655,-0.47313927768210984
2005-04-02,0.196619845285676,-0.9171637169365165,0.15296833730547266,-0.6810494481633137,0.1991291545177971,-0.9171637209902244,0.11957435992581655,-0.47313927768210984
2005-04-03,0.1973925627427333,-0.9171635892903772,0.15350950454318113,-0.6807010010099519,0.1991291545177971,-0.9171637209902244,0.11957435992581655,-0.47313927768210984
2005-04-04,0.20065501822385912,-0.9171637671519715,0.15486175565723603,-0.680705909331436,0.20023789139643622,-0.9171637209902244,0.11991854237642907,-0.47313927768210984
2005-04-07,0.20239013285290763,-0.9171637671519715,0.1557387571532205,-0.680705909331436,0.197758480893645,-0.9171637209902244,0.11909262556512656,-0.47313927768210984
2005-04-08,0.19973758136274355,-0.9171636107967025,0.15640129204027198,-0.6808916338749837,0.19562629471407345,-0.9171637209902244,0.11842952519215033,-0.47313927768210984
2005-04-09,0.19712535514847218,-0.9171635822808704,0.15388658544113332,-0.6827448595773458,0.19562629471407345,-0.9171637209902244,0.11842952519215033,-0.47313927768210984
2005-04-10,0.19582262270901607,-0.9171636458504269,0.15260655095637032,-0.6822298555650457,0.19562629471407345,-0.9171637209902244,0.11842952519215033,-0.47313927768210984
2005-04-11,0.19618103880254756,-0.9171637683732734,0.15414562996222547,-0.6810093816370464,0.1945948551328489,-0.9171637209902244,0.11810548320412284,-0.47313927768210984
